,bill,burger,card,double,fries,loaded,menu,nuggets,one,soft_drinks,wings
bill,2,0,0,0,0,0,0,0,1,0,0
burger,0,4,0,0,0,0,0,0,0,0,0
card,0,0,1,1,0,0,0,0,0,0,1
double,0,0,1,3,0,0,0,0,0,0,0
fries,1,0,0,0,2,0,0,0,0,0,1
loaded,1,0,0,0,0,3,0,0,0,0,0
menu,0,0,0,2,0,0,1,0,0,0,0
nuggets,0,0,0,0,0,0,0,2,2,0,0
one,0,0,1,0,0,0,0,0,1,0,1
soft_drinks,0,0,0,0,0,0,0,0,0,1,2
wings,1,0,0,0,0,0,0,3,0,0,0
