epoch,accuracy,loss,lr,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
0,0.0883977934718132,2.659975290298462,0.001,0.3038673996925354,0.10256410390138626,2.45690655708313,0.3333333432674408
1,0.09944751113653183,2.4827799797058105,0.001,0.3093922734260559,0.12820513546466827,2.398864507675171,0.28205129504203796
2,0.18232044577598572,2.328695297241211,0.001,0.37569060921669006,0.12820513546466827,2.3470447063446045,0.4871794879436493
3,0.14917127788066864,2.309344530105591,0.001,0.3977900445461273,0.1538461595773697,2.236783981323242,0.5384615659713745
4,0.19889502227306366,2.230032205581665,0.001,0.4917127192020416,0.12820513546466827,2.1127543449401855,0.5384615659713745
5,0.2154696136713028,2.074228286743164,0.001,0.5469613075256348,0.28205129504203796,2.11313796043396,0.5128205418586731
6,0.24861878156661987,2.0533230304718018,0.001,0.5580110549926758,0.20512820780277252,2.083848714828491,0.5641025900840759
7,0.2707182466983795,2.0058798789978027,0.001,0.6022099256515503,0.23076923191547394,2.0057766437530518,0.5897436141967773
8,0.24309392273426056,1.9859422445297241,0.001,0.6187845468521118,0.20512820780277252,1.9555600881576538,0.6153846383094788
9,0.3093922734260559,1.8579756021499634,0.001,0.6464088559150696,0.1794871836900711,1.9956042766571045,0.5641025900840759
10,0.3425414264202118,1.8018989562988281,0.001,0.6850828528404236,0.3589743673801422,1.8132257461547852,0.7435897588729858
11,0.32596686482429504,1.7987068891525269,0.001,0.7071823477745056,0.1794871836900711,1.872320294380188,0.6410256624221802
12,0.3425414264202118,1.7264026403427124,0.001,0.6795580387115479,0.28205129504203796,1.8042343854904175,0.6666666865348816
13,0.3591160178184509,1.7547216415405273,0.001,0.7071823477745056,0.28205129504203796,1.777674913406372,0.5897436141967773
14,0.3038673996925354,1.6808178424835205,0.001,0.7348066568374634,0.3589743673801422,1.7064200639724731,0.692307710647583
15,0.3591160178184509,1.6336829662322998,0.001,0.7569060921669006,0.28205129504203796,1.6764698028564453,0.692307710647583
16,0.37016573548316956,1.5133540630340576,0.001,0.8011049628257751,0.4615384638309479,1.5528755187988281,0.7948718070983887
17,0.38121548295021057,1.6258622407913208,0.001,0.7790055274963379,0.4871794879436493,1.5445159673690796,0.7435897588729858
18,0.4254143536090851,1.4490666389465332,0.001,0.8121547102928162,0.5384615659713745,1.4906420707702637,0.7435897588729858
19,0.5248618721961975,1.2633723020553589,0.001,0.8729282021522522,0.5641025900840759,1.4143662452697754,0.7692307829856873
20,0.530386745929718,1.2343484163284302,0.001,0.889502763748169,0.4871794879436493,1.5245941877365112,0.8205128312110901
21,0.45856353640556335,1.2655688524246216,0.001,0.889502763748169,0.5641025900840759,1.4102107286453247,0.8205128312110901
22,0.541436493396759,1.1880576610565186,0.001,0.8784530162811279,0.4615384638309479,1.5066741704940796,0.7692307829856873
23,0.5635359287261963,1.1586178541183472,0.001,0.8784530162811279,0.4871794879436493,1.3593367338180542,0.8461538553237915
24,0.6353591084480286,1.048555612564087,0.001,0.889502763748169,0.5128205418586731,1.3696235418319702,0.7948718070983887
25,0.6132596731185913,0.9768089056015015,0.001,0.9337016344070435,0.5897436141967773,1.288134217262268,0.8205128312110901
26,0.5690608024597168,1.0415492057800293,0.001,0.9337016344070435,0.5641025900840759,1.2181718349456787,0.7948718070983887
27,0.541436493396759,1.061690092086792,0.001,0.9171270728111267,0.5384615659713745,1.4751654863357544,0.8461538553237915
28,0.6464088559150696,0.9392616152763367,0.001,0.9281768202781677,0.5641025900840759,1.2866111993789673,0.8205128312110901
29,0.6961326003074646,0.7697428464889526,0.001,0.950276255607605,0.5897436141967773,1.3898966312408447,0.7948718070983887
30,0.7458563446998596,0.7272782921791077,0.001,0.9613259434700012,0.5641025900840759,1.544279932975769,0.8205128312110901
31,0.7403314709663391,0.6712779402732849,0.001,0.9558011293411255,0.6410256624221802,1.3873203992843628,0.8205128312110901
32,0.7513812184333801,0.6884050369262695,0.0005,0.9668508172035217,0.5897436141967773,1.512920618057251,0.8205128312110901
33,0.7900552749633789,0.6173276305198669,0.0005,0.9834254384040833,0.6666666865348816,1.4003812074661255,0.8205128312110901
34,0.8453038930892944,0.4428409934043884,0.0005,0.9834254384040833,0.5897436141967773,1.4116408824920654,0.8461538553237915
35,0.7900552749633789,0.5227541923522949,0.0005,0.9834254384040833,0.692307710647583,1.346569538116455,0.8205128312110901
36,0.8176795840263367,0.4697147309780121,0.0005,0.9944751262664795,0.6666666865348816,1.3574469089508057,0.8205128312110901
37,0.8950276374816895,0.34746822714805603,0.00025,0.9834254384040833,0.692307710647583,1.3761065006256104,0.8461538553237915
38,0.8674033284187317,0.39831531047821045,0.00025,0.9944751262664795,0.6666666865348816,1.3589082956314087,0.8461538553237915
39,0.8784530162811279,0.3468720018863678,0.00025,0.9834254384040833,0.6410256624221802,1.4269325733184814,0.8461538553237915
40,0.9060773253440857,0.3162311613559723,0.00025,0.9944751262664795,0.692307710647583,1.4640542268753052,0.7948718070983887
41,0.889502763748169,0.3290073275566101,0.00025,0.9944751262664795,0.692307710647583,1.4911353588104248,0.8461538553237915
