loss,accuracy,top3_accuracy,val_loss,val_accuracy,val_top3_accuracy,lr
3.113837718963623,0.0788690447807312,0.20729166269302368,2.876636505126953,0.14444445073604584,0.38333332538604736,0.0003
2.81787371635437,0.15491071343421936,0.3586309552192688,2.5269367694854736,0.2638888955116272,0.44999998807907104,0.0003
2.475417137145996,0.24062499403953552,0.4883928596973419,2.006934642791748,0.4027777910232544,0.6722221970558167,0.0003
2.117734670639038,0.3397321403026581,0.6095238327980042,1.5761103630065918,0.5277777910232544,0.7944444417953491,0.0003
1.8064533472061157,0.42916667461395264,0.706250011920929,1.1503983736038208,0.6944444179534912,0.9111111164093018,0.0003
1.5379806756973267,0.5102678537368774,0.7834821343421936,0.8732951879501343,0.8027777671813965,0.9416666626930237,0.0003
1.272003412246704,0.5913690328598022,0.8455356955528259,0.6548193693161011,0.8694444298744202,0.9638888835906982,0.0003
1.0832732915878296,0.6565476059913635,0.8843749761581421,0.5236049890518188,0.8694444298744202,0.9722222089767456,0.0003
0.9095407128334045,0.7084821462631226,0.9119047522544861,0.4095913767814636,0.8888888955116272,0.9694444537162781,0.0003
0.7390056252479553,0.765029788017273,0.9450892806053162,0.2766377031803131,0.9416666626930237,0.9833333492279053,0.0003
0.6443575024604797,0.7882440686225891,0.9556547403335571,0.24245965480804443,0.9444444179534912,0.9750000238418579,0.0003
0.5477592945098877,0.8235118985176086,0.9666666388511658,0.1710352897644043,0.9583333134651184,0.9916666746139526,0.0003
0.478720486164093,0.8477678298950195,0.9747023582458496,0.15170972049236298,0.9666666388511658,0.9916666746139526,0.0003
0.4219686686992645,0.8629464507102966,0.9799107313156128,0.12438154220581055,0.9638888835906982,0.9916666746139526,0.0003
0.3474406898021698,0.8907738327980042,0.984970211982727,0.09429387003183365,0.9833333492279053,0.9916666746139526,0.0003
0.30885767936706543,0.9019345045089722,0.9864583611488342,0.08159174025058746,0.9750000238418579,0.9916666746139526,0.0003
0.27476561069488525,0.9175595045089722,0.9879464507102966,0.08340846002101898,0.9833333492279053,0.9916666746139526,0.0003
0.24644994735717773,0.9236606955528259,0.991815447807312,0.059335026890039444,0.980555534362793,0.9916666746139526,0.0003
0.21050691604614258,0.9334821701049805,0.9934523701667786,0.04702842980623245,0.9833333492279053,1.0,0.0003
0.1845196634531021,0.9427083134651184,0.9937499761581421,0.04539857432246208,0.9833333492279053,1.0,0.0003
0.17201781272888184,0.9461309313774109,0.9952380657196045,0.033442653715610504,0.9833333492279053,1.0,0.0003
0.16312797367572784,0.949404776096344,0.994940459728241,0.02221415750682354,0.9916666746139526,1.0,0.0003
0.14222146570682526,0.9544642567634583,0.9964285492897034,0.015380574390292168,0.9916666746139526,1.0,0.0003
0.13560526072978973,0.9593750238418579,0.9974702596664429,0.008254574611783028,1.0,1.0,0.0003
0.12162046134471893,0.9630952477455139,0.9979166388511658,0.005501327104866505,1.0,1.0,0.0003
0.11731015890836716,0.9642857313156128,0.9964285492897034,0.006770361680537462,1.0,1.0,0.0003
0.10445296764373779,0.9688988327980042,0.9971725940704346,0.002439054660499096,1.0,1.0,0.0003
0.09270695596933365,0.9739583134651184,0.9986607432365417,0.0024218102917075157,1.0,1.0,0.0003
0.09347447007894516,0.9699404835700989,0.9973214268684387,0.0022534872405231,1.0,1.0,0.0003
0.080565445125103,0.9741071462631226,0.9980654716491699,0.001210025162436068,1.0,1.0,0.0003
