loss,accuracy,val_loss,val_accuracy,lr
2.748674154281616,0.14364640414714813,2.376851797103882,0.10256410390138626,0.001
2.5290884971618652,0.14364640414714813,2.341156244277954,0.10256410390138626,0.001
2.3820319175720215,0.16574585437774658,2.309661626815796,0.10256410390138626,0.001
2.3623886108398438,0.16022099554538727,2.292482376098633,0.07692307978868484,0.001
2.2816884517669678,0.14364640414714813,2.3381450176239014,0.07692307978868484,0.001
2.2694075107574463,0.2209944725036621,2.275430917739868,0.05128205195069313,0.001
2.1835975646972656,0.23756906390190125,2.2941718101501465,0.20512820780277252,0.001
2.180828809738159,0.2541436553001404,2.317233085632324,0.1538461595773697,0.001
2.1842706203460693,0.19889502227306366,2.2624473571777344,0.1794871836900711,0.001
2.1524546146392822,0.265193372964859,2.180746555328369,0.1538461595773697,0.001
1.917275071144104,0.33149170875549316,2.0873730182647705,0.23076923191547394,0.001
1.9038981199264526,0.3093922734260559,2.1203134059906006,0.12820513546466827,0.001
1.9446161985397339,0.2983425557613373,2.2085580825805664,0.20512820780277252,0.001
1.8375346660614014,0.3480663001537323,2.43713641166687,0.12820513546466827,0.001
1.8284541368484497,0.3922652006149292,2.380635976791382,0.1538461595773697,0.001
1.786755919456482,0.3480663001537323,2.3186397552490234,0.12820513546466827,0.001
1.8607563972473145,0.37016573548316956,1.9880248308181763,0.20512820780277252,0.0005
1.5237730741500854,0.4475138187408447,1.9448519945144653,0.25641027092933655,0.0005
1.5380538702011108,0.4419889450073242,1.9463876485824585,0.28205129504203796,0.0005
1.53024160861969,0.4419889450073242,1.759968638420105,0.4615384638309479,0.0005
1.5194714069366455,0.4475138187408447,1.8223552703857422,0.28205129504203796,0.0005
1.5571324825286865,0.469613254070282,1.7558797597885132,0.38461539149284363,0.0005
1.5110149383544922,0.4309392273426056,1.6976745128631592,0.41025641560554504,0.0005
1.4110467433929443,0.469613254070282,1.6377655267715454,0.41025641560554504,0.0005
1.3022072315216064,0.5359116196632385,1.7245529890060425,0.43589743971824646,0.0005
1.3357884883880615,0.5359116196632385,1.6125787496566772,0.5128205418586731,0.0005
1.3372299671173096,0.519336998462677,1.6575796604156494,0.5128205418586731,0.0005
1.3907440900802612,0.4861878454685211,1.6550203561782837,0.5128205418586731,0.0005
1.2009207010269165,0.5635359287261963,1.6059865951538086,0.5384615659713745,0.0005
1.2880736589431763,0.5635359287261963,1.5746331214904785,0.3333333432674408,0.0005
1.1421029567718506,0.6353591084480286,1.5580183267593384,0.43589743971824646,0.0005
1.2263625860214233,0.5524861812591553,1.6823571920394897,0.43589743971824646,0.0005
1.103779673576355,0.6740331649780273,1.652363896369934,0.5128205418586731,0.0005
1.0790424346923828,0.6243094205856323,1.5841361284255981,0.5128205418586731,0.0005
1.145180344581604,0.5856353640556335,1.67385995388031,0.5128205418586731,0.0005
1.1004371643066406,0.6298342347145081,1.78705632686615,0.4871794879436493,0.0005
1.2055810689926147,0.5690608024597168,1.9261881113052368,0.43589743971824646,0.00025
1.0722073316574097,0.6022099256515503,1.67914879322052,0.4871794879436493,0.00025
1.0520812273025513,0.6077347993850708,1.6927292346954346,0.5384615659713745,0.00025
0.9754148721694946,0.6685082912445068,1.646944284439087,0.5384615659713745,0.00025
0.9938198328018188,0.6740331649780273,1.653381109237671,0.5128205418586731,0.00025
0.9401411414146423,0.6629834175109863,1.5772075653076172,0.5128205418586731,0.000125
0.8808767199516296,0.7016574740409851,1.5896990299224854,0.5897436141967773,0.000125
