epoch,accuracy,loss,lr,top3_accuracy,val_accuracy,val_loss,val_top3_accuracy
0,0.17311233282089233,2.3176891803741455,0.0003,0.4309392273426056,0.12820513546466827,2.323665142059326,0.4871794879436493
1,0.23388582468032837,2.120802164077759,0.0003,0.5635359287261963,0.1538461595773697,2.102562427520752,0.5641025900840759
2,0.27255985140800476,1.9501795768737793,0.0003,0.6482504606246948,0.3076923191547394,1.9795156717300415,0.5384615659713745
3,0.39042356610298157,1.6968072652816772,0.0003,0.7440147399902344,0.3333333432674408,1.9494320154190063,0.5897436141967773
4,0.4327808618545532,1.632407784461975,0.0003,0.7716390490531921,0.23076923191547394,1.9129440784454346,0.6153846383094788
5,0.47882136702537537,1.4598013162612915,0.0003,0.8084714412689209,0.3333333432674408,1.9447968006134033,0.6666666865348816
6,0.45856353640556335,1.4217947721481323,0.0003,0.8324125409126282,0.3589743673801422,1.7246946096420288,0.7179487347602844
7,0.5285451412200928,1.2787038087844849,0.0003,0.8710865378379822,0.3076923191547394,1.9390860795974731,0.692307710647583
8,0.5469613075256348,1.2422900199890137,0.0003,0.880294680595398,0.3076923191547394,1.963269591331482,0.6410256624221802
9,0.6243094205856323,1.031798243522644,0.0003,0.9079189896583557,0.43589743971824646,1.770546793937683,0.7692307829856873
10,0.6298342347145081,1.0173499584197998,0.0003,0.9079189896583557,0.41025641560554504,1.8110387325286865,0.7435897588729858
11,0.6758747696876526,0.917945384979248,0.0003,0.9465929865837097,0.3589743673801422,1.8005197048187256,0.7179487347602844
12,0.7274401187896729,0.8023682832717896,0.00015,0.9539594650268555,0.4871794879436493,1.7982300519943237,0.7948718070983887
13,0.7587476968765259,0.735782265663147,0.00015,0.9465929865837097,0.4871794879436493,1.79826819896698,0.7692307829856873
14,0.7661141753196716,0.7293336391448975,0.00015,0.959484338760376,0.5384615659713745,1.7511107921600342,0.7692307829856873
15,0.7697974443435669,0.682925283908844,0.00015,0.9613259434700012,0.5641025900840759,1.6552072763442993,0.7948718070983887
16,0.7808471322059631,0.6568394899368286,0.00015,0.968692421913147,0.5641025900840759,1.7222900390625,0.7948718070983887
17,0.7882136106491089,0.5897403359413147,0.00015,0.9742172956466675,0.4871794879436493,1.9120004177093506,0.7435897588729858
18,0.8324125409126282,0.5509727597236633,0.00015,0.9779005646705627,0.5128205418586731,1.8453161716461182,0.7948718070983887
19,0.8305708765983582,0.5112752318382263,0.00015,0.9779005646705627,0.5128205418586731,1.7641202211380005,0.7948718070983887
20,0.8416206240653992,0.5096293091773987,0.00015,0.9742172956466675,0.5384615659713745,1.8230865001678467,0.7692307829856873
21,0.8692449331283569,0.39291858673095703,7.5e-05,0.9871086478233337,0.5384615659713745,1.8829541206359863,0.7948718070983887
22,0.8655617237091064,0.4155253767967224,7.5e-05,0.9926335215568542,0.5641025900840759,1.8017789125442505,0.7692307829856873
23,0.8858194947242737,0.35037752985954285,7.5e-05,0.9926335215568542,0.4871794879436493,1.8537442684173584,0.8205128312110901
24,0.8784530162811279,0.3926698565483093,7.5e-05,0.9815837740898132,0.5641025900840759,1.877508521080017,0.7692307829856873
25,0.8747698068618774,0.3904823660850525,7.5e-05,0.9852670431137085,0.5641025900840759,1.9093356132507324,0.7692307829856873
26,0.8950276374816895,0.36577555537223816,3.75e-05,0.9926335215568542,0.6153846383094788,1.7271877527236938,0.7948718070983887
27,0.880294680595398,0.33617839217185974,3.75e-05,0.9926335215568542,0.5897436141967773,1.8279452323913574,0.8205128312110901
28,0.9079189896583557,0.3076530694961548,3.75e-05,0.9963167309761047,0.5897436141967773,1.8213121891021729,0.7692307829856873
29,0.8987108469009399,0.3280147314071655,3.75e-05,0.9852670431137085,0.5897436141967773,1.8361575603485107,0.7948718070983887
30,0.9023941159248352,0.3070748448371887,3.75e-05,0.9981583952903748,0.6153846383094788,1.849251627922058,0.8205128312110901
